Paper_Name,Year,Citation_Number,Author_Name,Snippet,Link
Asymptotically truthful equilibrium selection in large congestion games,2014,46,Ryan M. Rogers/Aaron Roth,"Studying games in the complete information model makes them analytically tractable. However, large n player interactions are more realistically modeled as games of incomplete information, where players may know little to nothing about the types of other players. Unfortunately, games in incomplete information settings lose many of the nice properties of complete information games: the quality of equilibria can become worse, the equilibria lose their ex-post properties, and coordinating on an equilibrium becomes even more difficult …",https://dl.acm.org/doi/abs/10.1145/2600057.2602856
On the efficiency of the walrasian mechanism,2014,57,Moshe Babaioff/Brendan Lucier/Noam Nisan/Renato Paes Leme,"Central results in economics guarantee the existence of efficient equilibria for various classes of markets. An underlying assumption in early work is that agents are price-takers, ie, agents honestly report their true demand in response to prices. A line of research in economics, initiated by Hurwicz (1972), is devoted to understanding how such markets perform when agents are strategic about their demands. This is captured by the Walrasian Mechanism that proceeds by collecting reported demands, finding clearing prices in the …",https://dl.acm.org/doi/abs/10.1145/2600057.2602850
"Strategy-proofness, investment efficiency, and marginal returns: an equivalence",2014,45,John William Hatfield/Fuhito Kojima/Scott Duke Kominers,"… and/or efficient, we derive a correspondence between the degree of failure of strategy-proofness and/or efficiency and the degree of failure to induce efficient investment. Our results …",https://papers.ssrn.com/sol3/papers.cfm?abstract_id=2544951
Optimal impartial selection,2014,55,Felix A. Fischer/Max Klimm,"… problem of selecting a member of a set of agents based on impartial … in situations where representatives are selected from within a group or … Subject to impartiality, this is best possible. …",https://dl.acm.org/doi/abs/10.1145/2600057.2602836
Long-run learning in games of cooperation,2014,17,Winter A. Mason/Siddharth Suri/Duncan J. Watts,"Cooperation in repeated games has been widely studied in experimental settings; however, the duration over which players participate in such experiments is typically confined to at most hours, and often to a single game. Given that in real world settings people may have years of experience, it is natural to ask how behavior in cooperative games evolves over the long run. Here we analyze behavioral data from three distinct games involving 571 individual experiments conducted over a two-year interval. First, in the case of a standard …",https://dl.acm.org/doi/abs/10.1145/2600057.2602892
"Strategic information platforms: selective disclosure and the price of free""""",2014,16,Chen Hajaj/David Sarne,Missing,Missing
Level-0 meta-models for predicting human behavior in games,2014,71,James R. Wright/Kevin Leyton-Brown,"Behavioral game theory seeks to describe the way actual people (as compared to idealized,``rational''agents) act in strategic situations. Our own recent work has identified iterative models (such as quantal cognitive hierarchy) as the state of the art for predicting human play in unrepeated, simultaneous-move games [Wright and Leyton-Brown 2012]. Iterative models predict that agents reason iteratively about their opponents, building up from a specification of nonstrategic behavior called level-0. The modeler is in principle free …",https://dl.acm.org/doi/abs/10.1145/2600057.2602907
Pragmatic algorithmic game theory,2014,3,Kevin Leyton-Brown,"… We can often say more about realistic problems if we're willing to be pragmatic. In particular, progress can often be made by leveraging one or both of the following forms of pragmatism: …",https://dl.acm.org/doi/abs/10.1145/2600057.2602959
Mechanism with unique learnable equilibria,2014,4,Paul Dütting/Thomas Kesselheim/Éva Tardos,"The existence of a unique equilibrium is the classic tool for ensuring predictiveness of game theory. Typical uniqueness results, however, are for Nash and Bayes-Nash equilibria and do not guarantee that natural game playing dynamic converges to this equilibrium. In fact, there are well known examples in which the equilibrium is unique, yet natural learning behavior does not converge to it. Motivated by this, we strive for stronger uniqueness results. We do not only require that there is a unique equilibrium, but also that this equilibrium must be …",https://dl.acm.org/doi/abs/10.1145/2600057.2602838
Simultaneous bayesian auctions and computational complexity,2014,63,Yang Cai/Christos H. Papadimitriou,"Bayesian equilibria of simultaneous auctions for individual items have been explored recently [Christodoulou et al. 2008; Bhawalkar and Roughgarden 2011; Hassidim et al. 2011; Feldman et al. 2013] as an alternative to the well-known complexity issues plaguing combinatorial auctions with incomplete information, and some strong positive results have been shown about their performance. We point out some very serious complexity obstacles to this approach: Computing a Bayesian equilibrium in such auctions is hard for PP---a …",https://dl.acm.org/doi/abs/10.1145/2600057.2602877
Contract complexity,2014,8,Moshe Babaioff/Eyal Winter,… Contracts which specify a small number of outcomes are easier to verify and are less prone to disputes. We therefore measure the complexity of a contract … indicate that the complexity of …,https://www.microsoft.com/en-us/research/wp-content/uploads/2016/02/contract-complexity-main.pdf
Optimal contest design for simple agents,2014,45,Arpita Ghosh/Robert Kleinberg,… optimal for any objective that is an increasing set function of the elicited submission qualities. We show that this optimal contest is always a simple contest … the optimal number of prizes j …,https://dl.acm.org/doi/abs/10.1145/2930955
Buying private data without verification,2014,73,Arpita Ghosh/Katrina Ligett/Aaron Roth/Grant Schoenebeck,"We consider the problem of designing a survey to aggregate non-verifiable information from a privacy-sensitive population: an analyst wants to compute some aggregate statistic from the private bits held by each member of a population, but cannot verify the correctness of the bits reported by participants in his survey. Individuals in the population are strategic agents with a cost for privacy, ie, they not only account for the payments they expect to receive from the mechanism, but also their privacy costs from any information revealed about them by the …",https://dl.acm.org/doi/abs/10.1145/2600057.2602902
Differentially private and incentive compatible recommendation system for the adoption of network goods,2014,7,Kevin He/Xiaosheng Mu,"We study the problem of designing a recommendation system for network goods under the constraint of differential privacy. Agents living on a graph face the introduction of a new good and undergo two stages of adoption. The first stage consists of private, random adoptions. In the second stage, remaining non-adopters decide whether to adopt with the help of a recommendation system A. The good has network complimentarity, making it socially desirable for A to reveal the adoption status of neighboring agents. The designer's problem …",https://dl.acm.org/doi/abs/10.1145/2600057.2602841
A dynamic model of certification and reputation,2014,15,Mihaela van der Schaar/Simpson Zhang,"Markets typically have many ways of learning about quality, with two of the most important being reputational forces and certification, and these types of learning often interact with and influence each other. This paper is the first to consider markets where learning occurs through these different sources simultaneously, which allows us to demonstrate the rich interplay and dynamics that can arise. Our work offers four main insights:(1) Without certification, market learning through reputation alone can get'stuck'at inefficient levels and …",https://dl.acm.org/doi/abs/10.1145/2600057.2602870
The empirical implications of privacy-aware choice,2014,15,Rachel Cummings/Federico Echenique/Adam Wierman,"This paper initiates the study of the testable implications of choice data in settings where agents have privacy preferences. We adapt the standard conceptualization of consumer choice theory to a situation where the consumer is aware of, and has preferences over, the information revealed by her choices. The main message of the paper is that little can be inferred about consumers' preferences once we introduce the possibility that the consumer has concerns about privacy. This holds even when consumers' privacy preferences are …",https://pubsonline.informs.org/doi/abs/10.1287/opre.2015.1458
"Recency, records and recaps: learning and non-equilibrium behavior in a simple decision problem",2014,67,Drew Fudenberg/Alexander Peysakhovich,Missing,Missing
Dynamically eliciting unobservable information,2014,19,Christopher P. Chambers/Nicolas S. Lambert,"We answer the following question: At t=1, an expert has (probabilistic) information about a random outcome X. In addition, the expert will obtain further information about X as time passes, up to some time t= T+ 1 at which X will be publicly revealed.(How) Can a protocol be devised that induces the expert, as a strict best response, to reveal at the outset his prior assessment of both X and the information flows he anticipates and, subsequently, what information he privately receives'(The protocol can provide the expert with payoffs that …",https://dl.acm.org/doi/abs/10.1145/2600057.2602859
Bandits with concave rewards and convex knapsacks,2014,185,Shipra Agrawal/Nikhil R. Devanur,"In this paper, we consider a very general model for exploration-exploitation tradeoff which allows arbitrary concave rewards and convex constraints on the decisions across time, in addition to the customary limitation on the time horizon. This model subsumes the classic multi-armed bandit (MAB) model, and the Bandits with Knapsacks (BwK) model of Badanidiyuru et al.[2013]. We also consider an extension of this model to allow linear contexts, similar to the linear contextual extension of the MAB model. We demonstrate that a …",https://dl.acm.org/doi/abs/10.1145/2600057.2602844
Econometrics for Learning Agents,2015,80,Denis Nekipelov/Vasilis Syrgkanis/Éva Tardos,"… We propose a theory of inference of agent valuations just based on the assumption that the agent’s learning strategies are smart enough that they have minimal regret, without making …",https://dl.acm.org/doi/abs/10.1145/2764468.2764522
Why Prices Need Algorithms,2015,31,Tim Roughgarden/Inbal Talgam-Cohen,"… (2) Walrasian equilibria, which employ only anonymous item prices, are guaranteed to … need not exist when consumers only want a pair of items, but what if we use a richer set of prices, …",https://dl.acm.org/doi/abs/10.1145/2764468.2764515
Hidden Substitutes,2015,69,John William Hatfield/Scott Duke Kominers,"We show that, in the setting of many-to-one matching with contracts, preferences exhibiting some forms of complementarity have an underlying substitutable structure. In particular, we …",http://www.jwhatfield.com/s/Hidden-Substitutes.pdf
Full Substitutability in Trading Networks,2015,15,John William Hatfield/Scott Duke Kominers/Alexandru Nichifor/Michael Ostrovsky/Alexander Westkamp,"Trading networks generalize and unify models of matching with bilateral contracts and indivisible goods exchange. We extend earlier models' canonical definitions of substitutability to the trading network context and show that all these definitions are equivalent. We also show that substitutability corresponds to submodularity of the indirect utility function, the single improvement property, and a no complementarities condition. We prove that substitutability is preserved under economically important transformations such as …",http://www.nichifor.net/s/Full-Substitutability-in-Trading-Networks.pdf
Near Feasible Stable Matchings,2015,9,Thanh Nguyen/Rakesh Vohra,"… of couples, stable matchings need not exist. For any student preferences, we show that each instance of a stable matching problem has a ‘nearby’ instance with a stable matching. The …",https://dl.acm.org/doi/abs/10.1145/2764468.2764471
Decentralized Dynamics and Fast Convergence in the Assignment Game: Extended Abstract,2015,12,Bary S. R. Pradelski,Missing,Missing
Making the Most of Your Samples,2015,130,Zhiyi Huang/Yishay Mansour/Tim Roughgarden,… samples than is necessary to accurately estimate the expected revenue obtained for such a distribution by even a single reserve price. We also prove essentially tight sample … -sample …,https://dl.acm.org/doi/abs/10.1145/2764468.2764475
Commitment Without Regrets: Online Learning in Stackelberg Security Games,2015,114,Maria-Florina Balcan/Avrim Blum/Nika Haghtalab/Ariel D. Procaccia,"In a Stackelberg Security Game, a defender commits to a randomized deployment of security resources, and an attacker best-responds by attacking a target that maximizes his utility. While algorithms for computing an optimal strategy for the defender to commit to have had a striking real-world impact, deployed applications require significant information about potential attackers, leading to inefficiencies. We address this problem via an online learning approach. We are interested in algorithms that prescribe a randomized strategy for the …",https://dl.acm.org/doi/abs/10.1145/2764468.2764478
Online Reputation Management: Estimating the Impact of Management Responses on Consumer Reviews,2015,362,Davide Proserpio/Georgios Zervas,"We investigate the relationship between a firm's use of management responses and its online reputation. We focus on the hotel industry and present several findings. First, hotels are likely to start responding following a negative shock to their ratings. Second, hotels respond to positive, negative, and neutral reviews at roughly the same rate. Third, by exploiting variation in the rate with which hotels respond on different review platforms and variation in the likelihood with which consumers are exposed to management responses, we …",https://pubsonline.informs.org/doi/abs/10.1287/mksc.2017.1043
Canary in the e-Commerce Coal Mine: Detecting and Predicting Poor Experiences Using Buyer-to-Seller Messages,2015,42,Dimitriy V. Masterov/Uwe F. Mayer/Steven Tadelis,"Reputation and feedback systems in online marketplaces are often biased, making it difficult to ascertain the quality of sellers. We use post-transaction, buyer-to-seller message traffic to detect signals of unsatisfactory transactions on eBay. We posit that a message sent after the item was paid for serves as a reliable indicator that the buyer may be unhappy with that purchase, particularly when the message included words associated with a negative experience. The fraction of a seller's message traffic that was negative predicts whether a …",https://dl.acm.org/doi/abs/10.1145/2764468.2764499
Coalition Games on Interaction Graphs: A Horticultural Perspective,2015,16,Nicolas Bousquet/Zhentao Li/Adrian Vetta,"We examine cooperative games where the viability of a coalition is determined by whether or not its members have the ability to communicate amongst themselves independently of non-members. This necessary condition for viability was proposed by Myerson [1977] and is modeled via an interaction graph G=(V, E); a coalition S⊆ V is then viable if and only if the induced graph G [S] is connected. The non-emptiness of the core of a coalition game can be tested by a well-known covering LP. Moreover, the integrality gap of its dual packing LP …",https://dl.acm.org/doi/abs/10.1145/2764468.2764477
Bidding Games and Efficient Allocations,2015,15,Gil Kalai/Reshef Meir/Moshe Tennenholtz,"Richman games are zero-sum games, where in each turn players bid in order to determine who will play next (Lazarus et al., 1999). We extend the theory to impartial general-sum two player games called bidding games, showing the existence of pure subgame-perfect equilibria (PSPE). In particular, we show that PSPEs form a semilattice, with a unique and natural Bottom Equilibrium. Our main result shows that if only two actions available to the players in each node, then the Bottom Equilibrium has additional properties:(a) utilities are …",https://www.sciencedirect.com/science/article/pii/S0899825618301374
Near-Optimum Online Ad Allocation for Targeted Advertising,2015,35,Joseph Naor/David Wajc,"Motivated by Internet targeted advertising, we address several ad allocation problems. Prior work has established that these problems admit no randomized online algorithm better than (1-1/e)-competitive (see Karp et al.(1990) and Mehta et al.(2007)), yet simple heuristics have been observed to perform much better in practice. We explain this phenomenon by studying a generalization of the bounded-degree inputs considered by Buchbinder et al.(2007), graphs which we call (k, d)-bounded. In such graphs the maximal degree on the online side …",https://dl.acm.org/doi/abs/10.1145/3105447
Core-competitive Auctions,2015,10,Gagan Goel/Mohammad Reza Khani/Renato Paes Leme,"One of the major drawbacks of the celebrated VCG auction is its low (or zero) revenue even when the agents have high value for the goods and a competitive outcome would have generated a significant revenue. A competitive outcome is one for which it is impossible for the seller and a subset of buyers to'block'the auction by defecting and negotiating an outcome with higher payoffs for themselves. This corresponds to the well-known concept of core in cooperative game theory. In particular, VCG revenue is known to be not competitive …",https://dl.acm.org/doi/abs/10.1145/2764468.2764502
Adverse Selection and Auction Design for Internet Display Advertising,2015,66,Nick Arnosti/Marissa Beck/Paul Milgrom,"We model an online display advertising environment in which “performance” advertisers can measure the value of individual impressions, whereas “brand” advertisers cannot. If advertiser values for ad opportunities are positively correlated, second-price auctions for impressions can be inefficient and expose brand advertisers to adverse selection. Bayesian-optimal auctions have other drawbacks: they are complex, introduce incentives for false-name bidding, and do not resolve adverse selection. We introduce “modified second bid” …",https://www.aeaweb.org/articles?id=10.1257/aer.20141198
Online Allocation with Traffic Spikes: Mixing Adversarial and Stochastic Models,2015,44,Hossein Esfandiari/Nitish Korula/Vahab S. Mirrokni,"Motivated by Internet advertising applications, online allocation problems have been studied extensively in various adversarial and stochastic models. While the adversarial arrival models are too pessimistic, many of the stochastic (such as iid or random-order) arrival models do not realistically capture uncertainty in predictions. A significant cause for such uncertainty is the presence of unpredictable traffic spikes, often due to breaking news or similar events. To address this issue, a simultaneous approximation framework has been …",https://dl.acm.org/doi/abs/10.1145/2764468.2764536
Algorithms as Mechanisms: The Price of Anarchy of Relax-and-Round,2015,8,Paul Dütting/Thomas Kesselheim/Éva Tardos,"Many algorithms, that are originally designed without explicitly considering incentive properties, are later combined with simple pricing rules and used as mechanisms. The resulting mechanisms are often natural and simple to understand. But how good are these algorithms as mechanisms? Truthful reporting of valuations is typically not a dominant strategy (certainly not with a pay-your-bid, first-price rule, but it is likely not a good strategy even with a critical value, or second-price style rule either). Our goal is to show that a wide …",https://dl.acm.org/doi/abs/10.1145/2764468.2764486
Smooth Online Mechanisms: A Game-Theoretic Problem in Renewable Energy Markets,2015,8,Thomas Kesselheim/Robert D. Kleinberg/Éva Tardos,"Using renewable energy in an efficient way is a key challenge facing our society. In this paper we study online mechanisms motivated by markets for such renewable energy, such as wind energy. While the aggregate demand of the large populations served by energy providers is quite predictable, supply in such systems is rather uncertain; eg it depends on the strength of the wind at the wind turbines. Energy, when it is available, must be delivered immediately, due to the inefficiency of technologies for electric power storage, hence the …",https://dl.acm.org/doi/abs/10.1145/2764468.2764487
Greedy Algorithms Make Efficient Mechanisms,2015,12,Brendan Lucier/Vasilis Syrgkanis,"We study mechanisms that use greedy allocation rules and pay-your-bid pricing to allocate resources subject to a matroid constraint. We show that all such mechanisms obtain a constant fraction of the optimal welfare at any equilibrium of bidder behavior, via a smoothness argument. This unifies numerous recent results on the price of anarchy of simple auctions. Our results extend to polymatroid and matching constraints, and we discuss extensions to more general matroid intersections.",https://dl.acm.org/doi/abs/10.1145/2764468.2764506
Algorithms against Anarchy: Understanding Non-Truthful Mechanisms,2015,22,Paul Dütting/Thomas Kesselheim,"The algorithmic requirements for dominant strategy incentive compatibility, or truthfulness, are well understood. Is there a similar characterization of algorithms that when combined with a suitable payment rule yield near-optimal welfare in all equilibria? We address this question by providing a tight characterization of a (possibly randomized) mechanism's Price of Anarchy provable via smoothness, for single-parameter settings. The characterization assigns a unique value to each allocation algorithm; this value provides an upper and a …",https://dl.acm.org/doi/abs/10.1145/2764468.2764507
A Non-asymptotic Approach to Analyzing Kidney Exchange Graphs,2015,26,Yichuan Ding/Dongdong Ge/Simai He/Christopher Thomas Ryan,"We propose a non-asymptotic approach to analyze kidney exchange that builds on the random graph model of kidney exchange introduced in Ashlagi, Garmarnik, Rees and Roth's"" The need for (long) chains in kidney exchange""(2012). We analyze a two phase procedure where random walks are used to allocate chains, followed by allocation via matching in cycles. Random walks preserve the probabilistic structure of residual graphs, greatly facilitating analysis without sending the number of nodes to infinity. We derive useful …",https://dl.acm.org/doi/abs/10.1145/2764468.2764494
Designing Matching Mechanisms under General Distributional Constraints,2015,78,Masahiro Goto/Fuhito Kojima/Ryoji Kurata/Akihisa Tamura/Makoto Yokoo,"In this paper, we consider two-sided, many-to-one matching problems where agents in one side of the market (schools) impose some distributional constraints (eg, a maximum quota for a set of schools), and develop a strategyproof mechanism that can handle a very general class of distributional constraints. We assume distributional constraints are imposed on a vector, where each element is the number of contracts accepted for each school. The only requirement we impose on distributional constraints is that the family of vectors that satisfy …",https://dl.acm.org/doi/abs/10.1145/2764468.2764501
Private Pareto Optimal Exchange,2015,14,Sampath Kannan/Jamie Morgenstern/Ryan M. Rogers/Aaron Roth,"… , asymptotically Pareto optimal allocation in a barter-exchange economy where … of exchange. Because one of the most important instantiations of such economies is kidney exchange—…",https://dl.acm.org/doi/abs/10.1145/3105445
An Approximate Law of One Price in Random Assignment Games,2015,0,Assaf Romm/Avinatan Hassidim,"Assignment games represent a tractable model of two-sided markets with transfers. We study the likely properties of the core of randomly generated assignment games. When the joint productivity of every firm and worker has a noise element with a bounded distribution, with high probability all workers who have approximately the same human capital level are paid roughly equal wages, and all firms of similar quality make similar profits. This implies that core allocations vary significantly in balanced markets, but that there is core …",http://in.bgu.ac.il/en/humsos/Econ/Documents/seminars/December%204-2014.pdf
Designing Dynamic Contests,2015,102,Kostas Bimpikis/Shayan Ehsani/Mohamed Mostagir,… problem of designing the award structure of a contest and its information disclosure policy in a dynamic framework and provides a number of guidelines for maximizing the designer’s …,https://pubsonline.informs.org/doi/abs/10.1287/opre.2018.1823
Managing Innovation in a Crowd,2015,24,Daron Acemoglu/Mohamed Mostagir/Asuman E. Ozdaglar,"… model of crowd innovation in which a firm seeks to assign a range of innovation tasks of … Unlike organizations, where employers can assign tasks to workers at will, crowd innovation …",https://www.nber.org/papers/w19852
Incentive-Compatible Experimental Design,2015,7,Panos Toulis/David C. Parkes/Elery Pfeffer/James Y. Zou,"… An incentive-compatible experiment design is one with an equilibrium where each … experiment designs, we identify sufficient conditions that guarantee incentive-compatible experiments…",https://dl.acm.org/doi/abs/10.1145/2764468.2764525
Information Asymmetries in Common-Value Auctions with Discrete Signals,2015,4,Vasilis Syrgkanis/David Kempe/Éva Tardos,"… focus on common-value auctions in which bidders get discrete signals. Continuous signal spaces … By contrast, discrete signal spaces are more suitable when the signals are very coarse …",https://pubsonline.informs.org/doi/abs/10.1287/moor.2018.0979
Simple Auctions with Simple Strategies,2015,28,Nikhil R. Devanur/Jamie Morgenstern/Vasilis Syrgkanis/S. Matthew Weinberg,"We introduce single-bid auctions as a new format for combinatorial auctions. In single-bid auctions, each bidder submits a single real-valued bid for the right to buy items at a fixed price. Contrary to other simple auction formats, such as simultaneous or sequential single-item auctions, bidders can implement no-regret learning strategies for single-bid auctions in polynomial time. Price of anarchy bounds for correlated equilibria concepts in single-bid auctions therefore have more bite than their counterparts for auctions and equilibria for …",https://dl.acm.org/doi/abs/10.1145/2764468.2764484
Randomization Beats Second Price as a Prior-Independent Auction,2015,61,Hu Fu/Nicole Immorlica/Brendan Lucier/Philipp Strack,Designing revenue optimal auctions for selling an item to n symmetric bidders is a fundamental problem in mechanism design. Myerson (1981) shows that the second price auction with an appropriate reserve price is optimal when bidders' values are drawn iid from a known regular distribution. A cornerstone in the prior-independent revenue maximization literature is a result by Bulow and Klemperer (1996) showing that the second price auction without a reserve achieves (n-1)/n of the optimal revenue in the worst case. We construct a …,https://dl.acm.org/doi/abs/10.1145/2764468.2764489
Ignorance is Almost Bliss: Near-Optimal Stochastic Matching With Few Queries,2015,57,Avrim Blum/John P. Dickerson/Nika Haghtalab/Ariel D. Procaccia/Tuomas Sandholm/Ankit Sharma,"The stochastic matching problem deals with finding a maximum matching in a graph whose edges are unknown but can be accessed via queries. This is a special case of stochastic k-set packing, where the problem is to find a maximum packing of sets, each of which exists with some probability. In this paper, we provide edge and set query algorithms for these two problems, respectively, that provably achieve some fraction of the omniscient optimal solution. Our main theoretical result for the stochastic matching (ie, 2-set packing) problem is …",https://dl.acm.org/doi/abs/10.1145/2764468.2764479
Matching with Stochastic Arrival,2015,14,Neil Thakral,"… arrive over time, (ii) there is uncertainty about when and whether … stochastic arrival of units. Among the central properties in matching theory and its applications in real-world matching …",https://www.aeaweb.org/articles?id=10.1257/pandp.20191032
Leximin Allocations in the Real World,2015,44,David Kurokawa/Ariel D. Procaccia/Nisarg Shah,"As part of a collaboration with a major California school district, we study the problem of fairly allocating unused classrooms in public schools to charter schools. Our approach revolves around the randomized leximin mechanism. We extend previous work to the classroom allocation setting, showing that the leximin mechanism is proportional, envy-free, efficient, and group strategyproof. We also prove that the leximin mechanism provides a (worst-case) 4-approximation to the maximum number of classrooms that can possibly be …",https://dl.acm.org/doi/abs/10.1145/2764468.2764490
Competitive Analysis via Benchmark Decomposition,2015,5,Ning Chen/Nikolai Gravin/Pinyan Lu,"We propose a uniform approach for the design and analysis of prior-free competitive auctions and online auctions. Our philosophy is to view the benchmark function as a variable parameter of the model and study a broad class of functions instead of a individual target benchmark. We consider a multitude of well-studied auction settings, and improve upon a few previous results. Multi-unit auctions. Given a β-competitive unlimited supply auction, the best previously known multi-unit auction is 2β-competitive. We design a (1+ β) …",https://dl.acm.org/doi/abs/10.1145/2764468.2764491
Simple Mechanisms for a Subadditive Buyer and Applications to Revenue Monotonicity,2015,122,Aviad Rubinstein/S. Matthew Weinberg,"We study the revenue maximization problem of a seller with n heterogeneous items for sale to a single buyer whose valuation function for sets of items is unknown and drawn from some distribution D. We show that if D is a distribution over subadditive valuations with independent items, then the better of pricing each item separately or pricing only the grand bundle achieves a constant-factor approximation to the revenue of the optimal mechanism. This includes buyers who are k-demand, additive up to a matroid constraint, or additive up to …",https://dl.acm.org/doi/abs/10.1145/3105448
"Public Projects, Boolean Functions, and the Borders of Border's Theorem",2015,28,Parikshit Gopalan/Noam Nisan/Tim Roughgarden,"Border's theorem gives an intuitive linear characterization of the feasible interim allocation rules of a Bayesian single-item environment, and it has several applications in economic and algorithmic mechanism design. All known generalizations of Border's theorem either restrict attention to relatively simple settings or resort to approximation. This article identifies a complexity-theoretic barrier that indicates, assuming standard complexity class separations, that Border's theorem cannot be extended significantly beyond the state of the …",https://dl.acm.org/doi/abs/10.1145/3274645
Improved Efficiency Guarantees in Auctions with Budgets,2015,16,Pinyan Lu/Tao Xiao,"We study the efficiency guarantees in the simple auction environment where the auctioneer has one unit of divisible good to be distributed among a number of budget constrained agents. With budget constraints, the social welfare cannot be approximated by a better factor than the number of agents by any truthful mechanism. Thus, we follow a recent work by Dobzinski and Leme [Dobzinski and Leme 2014] to approximate the liquid welfare, which is the welfare of the agents each capped by her/his own budget. We design a new truthful …",https://dl.acm.org/doi/abs/10.1145/2764468.2764500
Truthful Mechanism Design via Correlated Tree Rounding,2015,14,Yossi Azar/Martin Hoefer/Idan Maor/Rebecca Reiffenhäuser/Berthold Vöcking,"One of the most powerful algorithmic techniques for truthful mechanism design are maximal-in-distributional-range (MIDR) mechanisms. Unfortunately, many algorithms using this paradigm rely on heavy algorithmic machinery and require the ellipsoid method or (approximate) solution of convex programs. In this paper, we present a simple and natural correlated rounding technique for designing mechanisms that are truthful in expectation. Our technique is elementary and can be implemented quickly. The main property we rely on is …",https://dl.acm.org/doi/abs/10.1145/2764468.2764503
Revenue Maximization and Ex-Post Budget Constraints,2015,22,Constantinos Daskalakis/Nikhil R. Devanur/S. Matthew Weinberg,"We consider the problem of a revenue-maximizing seller with m items for sale to n additive bidders with hard budget constraints, assuming that the seller has some prior distribution over bidder values and budgets. The prior may be correlated across items and budgets of the same bidder, but is assumed independent across bidders. We target mechanisms that are Bayesian incentive compatible, but that are ex-post individually rational and ex-post budget respecting. Virtually no such mechanisms are known that satisfy all these conditions …",https://dl.acm.org/doi/abs/10.1145/3274647
Strong Duality for a Multiple-Good Monopolist,2015,210,Constantinos Daskalakis/Alan Deckelbaum/Christos Tzamos,"We provide a duality-based framework for revenue maximization in a multiple-good monopoly. Our framework shows that every optimal mechanism has a certificate of optimality, taking the form of an optimal transportation map between measures. Using our framework, we prove that grand-bundling mechanisms are optimal if and only if two stochastic dominance conditions hold between specific measures induced by the buyer's type distribution. This result strengthens several results in the literature, where only sufficient …",https://dl.acm.org/doi/abs/10.1145/2764468.2764539
Customer Referral Incentives and Social Media,2015,93,Ilan Lobel/Evan Sadler/Lav R. Varshney,"We study how to optimally attract new customers using a referral program. Whenever a consumer makes a purchase, the firm gives her a link to share with friends, and every purchase coming through that link generates a referral payment. The firm chooses the referral payment function and consumers play an equilibrium in response. The optimal payment function is nonlinear and not necessarily monotonic in the number of successful referrals. If we approximate the optimal policy using a linear payment function, the …",https://pubsonline.informs.org/doi/abs/10.1287/mnsc.2016.2476
Estimating the Causal Impact of Recommendation Systems from Observational Data,2015,131,Amit Sharma/Jake M. Hofman/Duncan J. Watts,"Recommendation systems are an increasingly prominent part of the web, accounting for up to a third of all traffic on several of the world's most popular sites. Nevertheless, little is known about how much activity such systems actually cause over and above activity that would have occurred via other means (eg, search) if recommendations were absent. Although the ideal way to estimate the causal impact of recommendations is via randomized experiments, such experiments are costly and may inconvenience users. In this paper …",https://dl.acm.org/doi/abs/10.1145/2764468.2764488
Inducing Approximately Optimal Flow Using Truthful Mediators,2015,20,Ryan M. Rogers/Aaron Roth/Jonathan R. Ullman/Zhiwei Steven Wu,"We revisit a classic coordination problem from the perspective of mechanism design: how can we coordinate a social welfare maximizing flow in a network congestion game with selfish players? The classical approach, which computes tolls as a function of known demands, fails when the demands are unknown to the mechanism designer, and naively eliciting them does not necessarily yield a truthful mechanism. Instead, we introduce a weak mediator that can provide suggested routes to players and set tolls as a function of reported …",https://dl.acm.org/doi/abs/10.1145/2764468.2764509
The Burden of Risk Aversion in Mean-Risk Selfish Routing,2015,46,Evdokia Nikolova/Nicolás E. Stier Moses,"Considering congestion games with uncertain delays, we compute the inefficiency introduced in network routing by risk-averse agents. At equilibrium, agents may select paths that do not minimize the expected latency so as to obtain lower variability. A social planner, who is likely to be more risk neutral than agents because it operates at a longer time-scale, quantifies social cost with the total expected delay along routes. From that perspective, agents may make suboptimal decisions that degrade long-term quality. We define the price …",https://dl.acm.org/doi/abs/10.1145/2764468.2764485
At What Quality and What Price?: Eliciting Buyer Preferences as a Market Design Problem,2015,15,John Joseph Horton/Ramesh Johari,Missing,Missing
Procurement Mechanisms for Differentiated Products,2015,7,Daniela Sabán/Gabriel Y. Weintraub,"We consider the problem faced by a procurement agency that runs an auction-type mechanism to construct an assortment of differentiated products with posted prices, offered by strategic suppliers. Heterogeneous consumers then buy their most preferred alternative from the assortment as needed. Framework agreements (FAs), widely used in the public sector, take this form; the central government runs the initial auction and then the public organizations (hospitals, schools, etc.) buy from the selected assortment. This type of …",http://conference.nber.org/confer/2015/MDf15/Saban_Weintraub.pdf
Team Performance with Test Scores,2015,44,Jon M. Kleinberg/Maithra Raghu,… a test score to maximize a notion of team performance. We precisely define our measure of team performance and also define a test that can be applied to individuals for team selections…,https://dl.acm.org/doi/abs/10.1145/3274644
Mechanisms for Fair Attribution,2015,10,Eric Balkanski/Yaron Singer,… We give our main result in Section 4 where we present and analyze a fair attribution mechanism that obtains an approximation ratio of three to the problem. We then continue to discuss …,https://dl.acm.org/doi/abs/10.1145/2764468.2764505
